time,torque,rpm
1745773489.449998,217.0,1687.0
1745773489.490095,217.0,1676.0
1745773489.528961,209.0,1700.0
1745773489.568972,186.1875,1731.0
1745773489.608973,161.1875,1781.0
1745773489.64927,133.1875,1770.0
1745773489.689537,105.1875,1772.0
1745773489.729808,77.1875,1748.0
1745773489.768515,49.1875,1776.0
1745773489.808434,21.1875,1752.0
1745773489.848943,-0.0,1691.0
1745773489.889323,-0.0,1696.0
1745773489.929461,-0.0,1714.0
1745773489.969439,-0.0,1654.0
1745773490.008131,-0.0,1645.0
1745773490.048346,-0.0,1625.0
1745773490.088748,-0.0,1600.0
1745773490.128378,-0.0,1595.0
1745773490.168784,-0.0,1608.0
1745773490.209064,-0.0,1582.0
1745773490.247773,-0.0,1598.0
1745773490.287718,22.875,1582.0
1745773490.327664,50.875,1619.0
1745773490.368056,75.375,1629.0
1745773490.408296,103.375,1631.0
1745773490.448541,119.5625,1641.0
1745773490.487347,98.5625,1627.0
1745773490.527283,70.5625,1621.0
1745773490.567265,42.5625,1624.0
1745773490.607797,14.5625,1601.0
1745773490.647754,-0.0,1557.0
1745773490.688044,-0.0,1535.0
1745773490.726917,-0.0,1529.0
1745773490.766846,-0.0,1483.0
1745773490.806817,-0.0,1422.0
1745773490.847136,-0.0,1417.0
1745773490.887322,-0.0,1467.0
1745773490.927573,-0.0,1411.0
1745773490.966515,-0.0,1342.0
1745773491.006418,-0.0,1315.0
1745773491.046502,-0.0,1314.0
1745773491.086748,-0.0,1284.0
1745773491.126958,-0.0,1258.0
1745773491.167135,-0.0,1216.0
1745773491.207394,-0.0,1211.0
1745773491.246346,-0.0,1195.0
1745773491.286125,-0.0,1176.0
1745773491.326409,-0.0,1164.0
1745773491.36692,-0.0,1152.0
1745773491.406733,-0.0,1161.0
1745773491.445661,-0.0,1147.0
1745773491.485599,-0.0,1160.0
1745773491.525721,-0.0,1152.0
1745773491.565985,-0.0,1191.0
1745773491.60622,6.0,1159.0
1745773491.646888,6.0,1228.0
1745773491.68673,13.75,1233.0
1745773491.725227,9.0,1198.0
1745773491.765402,9.0,1198.0
1745773491.80556,20.75,1173.0
1745773491.845807,41.0,1151.0
1745773491.886056,44.0,1136.0
1745773491.924847,44.0,1097.0
1745773491.964801,44.0,1100.0
1745773492.004886,37.0,1094.0
1745773492.045103,35.0,1091.0
1745773492.085463,31.1875,1097.0
1745773492.125651,22.1875,1101.0
1745773492.164971,-0.0,1067.0
1745773492.204903,-0.0,1042.0
1745773492.244465,-0.0,1095.0
1745773492.28476,-0.0,1106.0
1745773492.324994,-0.0,1057.0
1745773492.365246,-0.0,1075.0
1745773492.404037,-0.0,1071.0
1745773492.443969,-0.0,1062.0
1745773492.483964,-0.0,1088.0
1745773492.52424,-0.0,1104.0
1745773492.564639,-0.0,1083.0
1745773492.604864,-0.0,1036.0
